,Project ID,Project Developer,Project Type,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Total Number of Credits Registered 
1,ACR206,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",71825.0
3,ACR521,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",62007.0
4,ACR522,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",94565.0
5,ACR443,A-Gas US Inc.,Ozone Depleting Substances,"Wood County, Bowling Green, Ohio",OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",114871.0
6,ACR444,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",88307.0
7,ACR473,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",125403.0
8,ACR474,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",149835.0
9,ACR475,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",91017.0
10,ACR497,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",42038.0
11,ACR503,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",136444.0
12,ACR496,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",51610.0
13,ACR533,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",81042.0
14,ACR573,A-Gas US Inc.,Industrial Process Emissions,"Wood County, Bowling Green, Ohio",OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",83702.0
15,ACR583,A-Gas US Inc.,Industrial Process Emissions,"Wood County, Bowling Green, Ohio",OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",23045.0
17,ACR526,"True Manufacturing Co., Inc.",Industrial Process Emissions,O'Fallon,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",21141.0
18,ACR528,"True Manufacturing Co., Inc.",Industrial Process Emissions,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",41381.0
19,ACR530,"True Manufacturing Co., Inc.",Industrial Process Emissions,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",52251.0
20,ACR599,"True Manufacturing Co., Inc.",Industrial Process Emissions,Missouri,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",44571.0
22,ACR527,"True Manufacturing Co., Inc.",Industrial Process Emissions,O'Fallon,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",17453.0
23,ACR529,"True Manufacturing Co., Inc.",Industrial Process Emissions,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",32468.0
24,ACR531,"True Manufacturing Co., Inc.",Industrial Process Emissions,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",37043.0
25,ACR600,"True Manufacturing Co., Inc.",Industrial Process Emissions,Missouri,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",34725.0
27,ACR479,"True Manufacturing Co., Inc.",Industrial Process Emissions,O'Fallon,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",199624.0
28,ACR480,"True Manufacturing Co., Inc.",Industrial Process Emissions,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",324357.0
29,ACR481,"True Manufacturing Co., Inc.",Industrial Process Emissions,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",371461.0
30,ACR598,"True Manufacturing Co., Inc.",Industrial Process Emissions,Missouri,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",401452.0
34,ACR424,The Nature Conservancy,Forest Carbon,Albany,NEW YORK,US,Clean Water and Sanitation;Climate Action;Life on Land,106469.0
35,ACR234,"Camco Offsets I, LLC",Livestock Waste Management,Trenton,FLORIDA,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",67896.0
41,ACR342,"Wabashco, LLC",Coal Mine Methane,1919 KY 132,KENTUCKY,US,"Industry, Innovation and Infrastructure;Climate Action",2236.0
42,ACR272,City of Astoria,Forest Carbon,10 miles southeast of the city of Astoria,OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,411399.0
43,ACR262,Ross Bewley,Forest Carbon,Mendocino County,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,886667.0
44,ACR190,"Camco Offsets I, LLC",Livestock Waste Management,"Gooding, ID",IDAHO,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",194151.0
45,ACR282,282,Forest Carbon,"Humboldt and Del Norte County, California",CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,1103300.0
46,ACR276,Blue Source,Forest Carbon,Horner,WEST VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,2233546.0
48,ACR371,Blue Source,Forest Carbon,Norfolk,CONNECTICUT,US,Clean Water and Sanitation;Climate Action;Life on Land,381992.0
50,ACR375,Blue Source,Forest Carbon,"Drehersville, Pennsylvania",PENNSYLVANIA,US,Clean Water and Sanitation;Climate Action;Life on Land,140346.0
52,ACR280,Blue Source,Forest Carbon,Logan,WEST VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,1178385.0
53,ACR376,Blue Source,Forest Carbon,"Hampden and Tolland Counties, Massachusetts",MASSACHUSETTS,US,Clean Water and Sanitation;Climate Action;Life on Land,245235.0
54,ACR368,Blue Source,Forest Carbon,"Middlebury, Vermont",VERMONT,US,Clean Water and Sanitation;Climate Action;Life on Land,102286.0
55,ACR373,Blue Source,Forest Carbon,Hayward,WISCONSIN,US,Clean Water and Sanitation;Climate Action;Life on Land,499009.0
57,ACR267,Blue Source,Forest Carbon,West Virginia,WEST VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,1890121.0
58,ACR393,Blue Source,Forest Carbon,L'Anse,MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,174007.0
59,ACR281,Blue Source,Forest Carbon,Spooner,WISCONSIN,US,Clean Water and Sanitation;Climate Action;Life on Land,375150.0
62,ACR202,Blue Source,Forest Carbon,"Forest, Florence, and Marienette Counties in Wisconsin",WISCONSIN,US,Clean Water and Sanitation;Climate Action;Life on Land,1042993.0
69,ACR417,Blue Source,Forest Carbon,Brookton,MAINE,US,Clean Water and Sanitation;Climate Action;Life on Land,1106117.0
71,ACR518,Blue Source,Forest Carbon,"Montgomery, VT",VERMONT,US,Clean Water and Sanitation;Climate Action;Life on Land,49800.0
74,ACR437,Blue Source,Forest Carbon,West Virginia,WEST VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,6249083.0
76,ACR398,Blue Source,Forest Carbon,"Johnson County, Tennessee",TENNESSEE,US,Clean Water and Sanitation;Climate Action;Life on Land,463283.0
77,ACR425,Blue Source,Forest Carbon,Hobart Bay,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,480213.0
78,ACR506,Blue Source,Forest Carbon,Upper Peninsula Michigan,MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,187784.0
79,ACR458,Blue Source,Forest Carbon,Prince of Wales-Hyder,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,362722.0
80,ACR386,Blue Source,Forest Carbon,"Andover, New Jersey",NEW JERSEY,US,Clean Water and Sanitation;Climate Action;Life on Land,153097.0
81,ACR459,Blue Source,Forest Carbon,Klawock,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,169727.0
82,ACR499,Blue Source,Forest Carbon,Prince of Wales,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,324025.0
87,ACR507,Blue Source,Forest Carbon,Clinton county,PENNSYLVANIA,US,Clean Water and Sanitation;Climate Action;Life on Land,55933.0
89,ACR534,Blue Source,Forest Carbon,Prince of Wales Island,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,98604.0
90,ACR374,Blue Source,Forest Carbon,"White County, Tennessee",TENNESSEE,US,Clean Water and Sanitation;Climate Action;Life on Land,227401.0
97,ACR439,Blue Source,Forest Carbon,"Adams, Pike and Highland counties",OHIO,US,Clean Water and Sanitation;Climate Action;Life on Land,684708.0
98,ACR403,Blue Source,Coal Mine Methane,"794 North C Canyon Road, East Carbon",UTAH,US,"Industry, Innovation and Infrastructure;Climate Action",83996.0
99,ACR407,Environmental Commodities Corporation,Coal Mine Methane,Cameron,WEST VIRGINIA,US,"Industry, Innovation and Infrastructure;Climate Action",416367.0
100,ACR105,F.I.T Timber Ltd,Forest Carbon,Boa Vista,Roraima,BR,Clean Water and Sanitation;Climate Action;Life on Land,3674586.0
102,ACR200,Steve Miller and Florence Miller Co-Trustees of the Edward Miller Trust,Forest Carbon,6 miles northeast of Point Arena CA,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,125626.0
104,ACR242,Vessels Carbon Solutions,Coal Mine Methane,Ebensburg,PENNSYLVANIA,US,"Industry, Innovation and Infrastructure;Climate Action",105573.0
105,ACR288,280,Forest Carbon,Forrest and Perry Counties,MISSISSIPPI,US,Clean Water and Sanitation;Climate Action;Life on Land,29945.0
106,ACR377,California Timberlands 2 LLC,Forest Carbon,"Humboldt County, CA",CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,397743.0
108,ACR408,"Camco EAM, LLC",Livestock Waste Management,San Joaquin County,CALIFORNIA,US,"Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action",11295.0
110,ACR109,Chesapeake Energy,Industrial Process Emissions,"Oklahoma, Texas, New Mexico, Kansas and Arkansas",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action",541804.0
112,ACR380,Climate Smart Group,Agricultural Land Management,NCR,IOWA,US,Zero Hunger;Clean Water and Sanitation;Climate Action,70.0
113,ACR390,"3Degrees Group, Inc.",Livestock Waste Management,"6321 Cuba Valley Road, Dane County",WISCONSIN,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",47847.0
115,ACR594,Environmental Commodities Corporation,Coal Mine Methane,Cadiz,OHIO,US,"Industry, Innovation and Infrastructure;Climate Action",9405.0
116,ACR519,Vermont Forest Carbon LLC,Forest Carbon,Franklin and Lamoille counties,VERMONT,US,Clean Water and Sanitation;Climate Action;Life on Land,53556.0
118,ACR292,Congaree River LLC,Forest Carbon,Coastal Mendocino County,CALIFORNIA,US,Clean Water and Sanitation;Climate Action;Life on Land,153689.0
119,ACR442,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",113564.0
120,ACR388,Keyrock Energy LLC,Coal Mine Methane,Thompsonville,ILLINOIS,US,"Industry, Innovation and Infrastructure;Climate Action",715675.0
121,ACR353,"3Degrees Group, Inc.",Livestock Waste Management,Alma Center,WISCONSIN,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",7781.0
122,ACR279,The Nature Conservancy,Forest Carbon,Wise,VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,738480.0
123,ACR248,The Nature Conservancy,Forest Carbon,"Wise, Dickenson, Russell, and Buchannan Counties",VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,3391474.0
124,ACR183,"Diversified Pure Chem, LLC",Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",38517.0
131,ACR111,Devon Energy Group,Industrial Process Emissions,"Oklahoma, Texas, Wyoming",OKLAHOMA,US,"Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action",5724.0
135,ACR233,"Camco EAM, LLC",Livestock Waste Management,Jerome,IDAHO,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",294783.0
137,ACR170,Environmental Credit Corp.,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",307729.0
138,ACR176,Environmental Credit Corp.,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",255227.0
139,ACR239,"Camco Offsets I, LLC",Livestock Waste Management,Lynden,WASHINGTON,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",38301.0
140,ACR243,Vessels Carbon Solutions,Coal Mine Methane,Somerset,COLORADO,US,"Industry, Innovation and Infrastructure;Climate Action",266263.0
141,ACR367,Vessels Carbon Solutions,Coal Mine Methane,Somerset,COLORADO,US,"Industry, Innovation and Infrastructure;Climate Action",704617.0
142,ACR205,Terra Global Capital,Agricultural Land Management,Colusa and Glenn Counties in Californias Sacramento Valley.,CALIFORNIA,US,Zero Hunger;Clean Water and Sanitation;Climate Action;Life on Land,202.0
144,ACR230,Terra Global Capital,Agricultural Land Management,"Prairie, McGhee, Desha, Mississippi and Craighead Counties in Arkansas, and Coahoma, Bolivar, and Washington Counties in Mississippi",ARKANSAS,US,Zero Hunger;Clean Water and Sanitation;Climate Action;Life on Land,395.0
145,ACR184,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",249025.0
146,ACR213,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",127664.0
147,ACR214,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",145580.0
148,ACR240,EOS Climate Inc,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",129700.0
149,ACR252,EOS Climate Inc,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",140736.0
150,ACR253,EOS Climate Inc,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",135017.0
152,ACR271,EOS Climate Inc,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",124882.0
153,ACR285,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",45663.0
154,ACR311,EOS Climate Inc,Ozone Depleting Substances,Clean Harbors,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",107264.0
155,ACR312,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",140871.0
156,ACR315,EOS Climate Inc,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",86839.0
157,ACR316,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",104897.0
158,ACR351,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",28562.0
159,ACR352,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",68637.0
160,ACR356,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",110720.0
161,ACR357,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",84131.0
162,ACR358,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",60749.0
164,ACR172,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",55996.0
166,ACR181,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",51864.0
167,ACR193,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",84418.0
168,ACR195,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",122080.0
169,ACR310,EOS Climate Inc,Industrial Process Emissions,Champaign,ILLINOIS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",8468.0
171,ACR360,"Ahtna, Incorporated",Forest Carbon,"Glennallen, AK",ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,15771683.0
174,ACR255,Confederated Tribes of the colville Reservation,Forest Carbon,Nespelem,WASHINGTON,US,Clean Water and Sanitation;Climate Action;Life on Land,14357787.0
175,ACR257,"Conservancy Management, LLC.",Forest Carbon,Montgomery County,TEXAS,US,Clean Water and Sanitation;Climate Action;Life on Land,218667.0
179,ACR428,Huna Totem Corporation,Forest Carbon,Southeast Alaska,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,1028121.0
182,ACR293,Lakes Region Conservation Trust,Forest Carbon,"Carrol, Belknap, Merrimack, & Grafton Counties",NEW HAMPSHIRE,US,Clean Water and Sanitation;Climate Action;Life on Land,483873.0
183,ACR249,The Lyme Timber Company,Forest Carbon,"Wyoming, McDowell, Mingo, Logan, and Raleigh Counties in West Virginia and Pike County in Kentucky",WEST VIRGINIA,US,Clean Water and Sanitation;Climate Action;Life on Land,5995666.0
184,ACR284,"Massachusetts Audubon Society, Inc.",Forest Carbon,"Berkshire, Hampshire, Franklin, Worcester Counties in Commonwealth of Massachusetts",MASSACHUSETTS,US,Clean Water and Sanitation;Climate Action;Life on Land,853781.0
185,ACR416,Molpus Woodlands Group,Forest Carbon,International Falls,MINNESOTA,US,Clean Water and Sanitation;Climate Action;Life on Land,3942011.0
186,ACR395,Molpus Woodlands Group,Forest Carbon,Upper Peninsula,MICHIGAN,US,Clean Water and Sanitation;Climate Action;Life on Land,994759.0
189,ACR420,Sealaska Corporation,Forest Carbon,Southeast Alaska,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,2559626.0
190,ACR324,Sealaska Corporation,Forest Carbon,Southeast Alaska,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,12193704.0
192,ACR256,Tennessee River Gorge Trust,Forest Carbon,The Tennessee River Gorge,TENNESSEE,US,Clean Water and Sanitation;Climate Action;Life on Land,399648.0
193,ACR247,The Forestland Group LLC,Forest Carbon,Owls Head,NEW YORK,US,Clean Water and Sanitation;Climate Action;Life on Land,801405.0
194,ACR199,The Forestland Group LLC,Forest Carbon,Coos County,NEW HAMPSHIRE,US,Clean Water and Sanitation;Climate Action;Life on Land,1865335.0
195,ACR413,"Beach People, LLC",Forest Carbon,Kenai Peninsula Borough,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,1176746.0
199,ACR348,"Foam Supplies, Inc.",Industrial Process Emissions,"Earth City, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",13399.0
200,ACR446,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",63104.0
201,ACR447,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",93458.0
202,ACR448,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",85790.0
203,ACR457,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",46868.0
204,ACR462,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",60655.0
205,ACR463,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",63778.0
206,ACR464,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",66273.0
207,ACR465,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",67092.0
208,ACR466,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",68943.0
209,ACR551,"Foam Supplies, Inc.",Industrial Process Emissions,Earth City,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",87801.0
211,ACR369,"Foam Supplies, Inc.",Industrial Process Emissions,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",113546.0
212,ACR451,"Foam Supplies, Inc.",Industrial Process Emissions,"Rockford, Minnesota",MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",105696.0
213,ACR450,"Foam Supplies, Inc.",Industrial Process Emissions,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",110310.0
214,ACR449,"Foam Supplies, Inc.",Industrial Process Emissions,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",110988.0
215,ACR552,"Foam Supplies, Inc.",Industrial Process Emissions,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",105885.0
216,ACR623,"Foam Supplies, Inc.",Industrial Process Emissions,Rockford,MINNESOTA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",102145.0
217,ACR454,"Foam Supplies, Inc.",Industrial Process Emissions,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",291983.0
218,ACR455,"Foam Supplies, Inc.",Industrial Process Emissions,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",520153.0
219,ACR622,"Foam Supplies, Inc.",Industrial Process Emissions,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",614148.0
220,ACR556,"Foam Supplies, Inc",Industrial Process Emissions,Winchester,VIRGINIA,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",529192.0
221,ACR361,"Forest Carbon Partners, L.P.",Forest Carbon,Kenai Peninsula,ALASKA,US,Clean Water and Sanitation;Climate Action;Life on Land,2469093.0
227,ACR423,"Forest Carbon Works, PBC",Forest Carbon,"Corbett, Oregon",OREGON,US,Clean Water and Sanitation;Climate Action;Life on Land,28048.0
229,ACR241,"Camco Offsets I, LLC",Livestock Waste Management,"4326 Middle Reservation Road, Perry, NY 14530",NEW YORK,US,"Zero Hunger;Industry, Innovation and Infrastructure;Climate Action",67336.0
230,ACR251,Era Ecosystem Services,Forest Carbon,Glasscock Island,MISSISSIPPI,US,Clean Water and Sanitation;Climate Action;Life on Land,430408.0
